Date;Open;High;Low;Close;Adj Close;Volume;vol2
20/09/2019;48.660.000;48.740.002;48.000.000;48.419.998;47.170.074;23870900;23,8709
23/09/2019;48.189.999;48.580.002;47.959.999;48.099.998;46.858.337;11946300;11,9463
24/09/2019;47.709.999;47.880.001;46.779.999;46.930.000;45.718.540;15322500;15,3225
25/09/2019;47.029.999;48.020.000;46.830.002;47.860.001;46.624.535;14554600;14,5546
26/09/2019;48.099.998;48.279.999;47.529.999;47.860.001;46.624.535;12257300;12,2573
27/09/2019;48.150.002;48.349.998;47.270.000;47.660.000;46.429.695;13450600;13,4506
30/09/2019;47.650.002;48.040.001;47.209.999;47.750.000;46.517.372;12116600;12,1166
01/10/2019;47.849.998;48.880.001;47.660.000;47.709.999;46.478.405;16083800;16,0838
02/10/2019;46.900.002;46.900.002;45.099.998;45.099.998;43.935.780;24637800;24,6378
03/10/2019;45.320.000;45.810.001;44.220.001;45.439.999;44.267.002;24569900;24,5699
04/10/2019;45.700.001;46.790.001;45.680.000;46.590.000;45.387.318;21339100;21,3391
07/10/2019;46.299.999;46.980.000;46.040.001;46.040.001;44.851.517;12531500;12,5315
08/10/2019;46.299.999;46.369.999;45.320.000;45.320.000;44.150.101;14671300;14,6713
09/10/2019;45.669.998;46.040.001;45.330.002;45.669.998;44.491.066;9509400;9,5094
10/10/2019;46.060.001;47.450.001;46.060.001;47.240.002;46.020.538;15441700;15,4417
11/10/2019;48.029.999;48.919.998;48.000.000;48.639.999;47.384.399;24527700;24,5277
14/10/2019;48.200.001;48.250.000;47.560.001;47.990.002;46.751.179;11520400;11,5204
15/10/2019;47.880.001;48.290.001;47.529.999;47.910.000;46.673.244;14669700;14,6697
16/10/2019;47.389.999;47.520.000;46.639.999;46.799.999;45.591.896;24417100;24,4171
17/10/2019;46.990.002;47.049.999;46.610.001;46.709.999;45.504.219;14158400;14,1584
18/10/2019;46.889.999;47.180.000;46.020.000;46.029.999;44.841.774;16452100;16,4521
21/10/2019;46.419.998;47.209.999;46.259.998;47.209.999;45.991.310;13486800;13,4868
22/10/2019;47.279.999;47.540.001;47.099.998;47.299.999;46.078.987;15194800;15,1948
23/10/2019;47.599.998;47.830.002;47.029.999;47.110.001;45.893.894;12362800;12,3628
24/10/2019;47.459.999;47.570.000;46.520.000;46.750.000;45.543.186;14646600;14,6466
25/10/2019;47.750.000;48.560.001;47.549.999;48.560.001;47.306.465;21754000;21,754
28/10/2019;48.650.002;48.799.999;48.340.000;48.700.001;47.442.852;10932200;10,9322
29/10/2019;48.410.000;48.799.999;48.080.002;48.650.002;47.394.142;10091200;10,0912
30/10/2019;48.400.002;48.619.999;47.689.999;48.590.000;47.335.690;15325200;15,3252
31/10/2019;48.099.998;48.480.000;46.860.001;47.200.001;45.981.571;21765000;21,765
01/11/2019;47.799.999;48.700.001;47.759.998;48.439.999;47.189.560;20151300;20,1513
04/11/2019;49.080.002;49.820.000;49.080.002;49.820.000;48.533.939;20980000;20,98
05/11/2019;50.070.000;50.279.999;49.430.000;49.869.999;48.582.645;15951200;15,9512
06/11/2019;49.900.002;49.970.001;48.900.002;49.689.999;48.407.291;14879300;14,8793
07/11/2019;49.840.000;50.529.999;49.540.001;50.110.001;48.816.452;26788900;26,7889
08/11/2019;49.330.002;49.549.999;48.810.001;49.180.000;47.910.458;19854000;19,854
11/11/2019;48.439.999;48.439.999;47.959.999;48.130.001;46.887.566;20385800;20,3858
12/11/2019;48.299.999;48.490.002;47.900.002;47.900.002;46.663.502;13130500;13,1305
13/11/2019;47.650.002;48.060.001;46.970.001;47.119.999;45.903.633;16882100;16,8821
14/11/2019;47.349.998;47.580.002;46.959.999;47.000.000;45.786.736;14155900;14,1559
18/11/2019;47.720.001;48.049.999;47.480.000;47.610.001;46.380.989;16777800;16,7778
19/11/2019;48.110.001;48.490.002;47.720.001;48.169.998;46.926.529;13108100;13,1081
21/11/2019;47.759.998;48.419.998;47.700.001;48.419.998;47.170.074;15624200;15,6242
22/11/2019;48.549.999;50.029.999;48.549.999;50.029.999;48.738.514;27680500;27,6805
25/11/2019;50.540.001;51.180.000;50.430.000;50.860.001;49.547.092;24507100;24,5071
26/11/2019;50.599.998;51.500.000;50.459.999;51.220.001;49.897.800;32446500;32,4465
27/11/2019;50.930.000;51.200.001;50.130.001;50.580.002;49.274.323;13507600;13,5076
28/11/2019;50.560.001;50.880.001;49.689.999;50.369.999;49.069.740;10145300;10,1453
29/11/2019;50.369.999;50.470.001;49.820.000;49.980.000;48.689.808;10290800;10,2908
02/12/2019;50.150.002;51.689.999;50.110.001;51.340.000;50.014.702;23952200;23,9522
03/12/2019;51.250.000;51.259.998;50.250.000;50.419.998;49.118.446;13479700;13,4797
04/12/2019;50.830.002;51.029.999;50.529.999;50.919.998;49.605.541;9105800;9,1058
05/12/2019;50.700.001;51.080.002;50.549.999;50.950.001;49.634.769;9503500;9,5035
06/12/2019;51.250.000;51.689.999;51.029.999;51.349.998;50.024.441;13892600;13,8926
09/12/2019;52.250.000;52.490.002;51.330.002;51.439.999;50.112.118;19388300;19,3883
10/12/2019;51.220.001;51.430.000;50.900.002;51.200.001;49.878.315;13878600;13,8786
11/12/2019;51.380.001;52.049.999;51.220.001;51.830.002;50.492.054;15572100;15,5721
12/12/2019;52.099.998;53.060.001;51.730.000;52.950.001;51.583.141;25140900;25,1409
13/12/2019;53.299.999;54.000.000;52.840.000;53.759.998;52.372.227;28172500;28,1725
16/12/2019;54.500.000;54.669.998;53.340.000;53.340.000;51.963.074;21806800;21,8068
17/12/2019;53.250.000;53.709.999;53.049.999;53.419.998;52.041.004;13570300;13,5703
18/12/2019;53.279.999;53.540.001;52.599.998;53.470.001;52.089.718;22924500;22,9245
19/12/2019;53.500.000;54.240.002;53.220.001;54.000.000;52.606.033;17683200;17,6832
20/12/2019;54.770.000;54.990.002;54.150.002;54.790.001;53.375.641;42124200;42,1242
23/12/2019;54.900.002;54.980.000;54.400.002;54.580.002;53.171.062;10225700;10,2257
26/12/2019;54.810.001;55.000.000;54.509.998;54.790.001;53.375.641;20410000;20,41
27/12/2019;53.990.002;54.000.000;53.419.998;53.599.998;53.599.998;13920400;13,9204
30/12/2019;53.650.002;53.860.001;53.200.001;53.299.999;53.299.999;11928100;11,9281
02/01/2020;53.980.000;54.439.999;53.750.000;54.330.002;54.330.002;17509700;17,5097
03/01/2020;53.680.000;54.500.000;53.580.002;53.930.000;53.930.000;17284800;17,2848
06/01/2020;53.799.999;53.799.999;53.150.002;53.610.001;53.610.001;32787800;32,7878
07/01/2020;53.500.000;54.189.999;53.400.002;54.000.000;54.000.000;16326400;16,3264
08/01/2020;54.200.001;54.369.999;53.619.999;54.009.998;54.009.998;15298500;15,2985
09/01/2020;53.750.000;53.869.999;53.049.999;53.299.999;53.299.999;14638000;14,638
10/01/2020;53.750.000;53.869.999;53.110.001;53.360.001;53.360.001;9129200;9,1292
13/01/2020;53.639.999;55.639.999;53.509.998;55.299.999;55.299.999;27497400;27,4974
14/01/2020;55.299.999;56.349.998;55.000.000;55.639.999;55.639.999;27817000;27,817
15/01/2020;55.299.999;56.080.002;55.110.001;55.459.999;55.459.999;21425300;21,4253
16/01/2020;55.599.998;55.950.001;55.099.998;55.169.998;55.169.998;13149100;13,1491
17/01/2020;56.250.000;57.090.000;56.099.998;57.000.000;57.000.000;36524100;36,5241
20/01/2020;57.000.000;57.360.001;56.529.999;57.360.001;57.360.001;16746300;16,7463
21/01/2020;56.799.999;57.009.998;55.740.002;56.029.999;56.029.999;25436800;25,4368
22/01/2020;56.599.998;56.849.998;56.060.001;56.299.999;56.299.999;17269400;17,2694
23/01/2020;55.430.000;55.730.000;54.709.999;55.500.000;55.500.000;23028900;23,0289
24/01/2020;55.619.999;55.730.000;53.689.999;53.799.999;53.799.999;19744800;19,7448
27/01/2020;51.660.000;51.820.000;50.480.000;50.509.998;50.509.998;38779700;38,7797
28/01/2020;51.200.001;52.090.000;51.080.002;51.200.001;51.200.001;23046400;23,0464
29/01/2020;51.700.001;51.889.999;50.459.999;50.750.000;50.750.000;23323000;23,323
30/01/2020;49.970.001;51.500.000;49.799.999;51.500.000;51.500.000;23083200;23,0832
31/01/2020;50.959.999;51.060.001;49.799.999;50.270.000;50.270.000;29988200;29,9882
03/02/2020;50.500.000;51.090.000;49.799.999;50.910.000;50.910.000;18858200;18,8582
04/02/2020;52.200.001;52.580.002;51.970.001;52.270.000;52.270.000;21559200;21,5592
05/02/2020;53.320.000;53.619.999;52.990.002;52.990.002;52.990.002;26797700;26,7977
06/02/2020;53.660.000;53.919.998;52.820.000;53.279.999;53.279.999;22155800;22,1558
07/02/2020;52.880.001;52.959.999;51.919.998;52.099.998;52.099.998;14450900;14,4509
10/02/2020;51.900.002;51.900.002;49.919.998;50.189.999;50.189.999;28244800;28,2448
11/02/2020;51.150.002;52.200.001;51.020.000;52.049.999;52.049.999;27560600;27,5606
12/02/2020;53.099.998;53.380.001;52.830.002;53.070.000;53.070.000;28539800;28,5398
13/02/2020;52.220.001;52.400.002;51.560.001;52.139.999;52.139.999;20105600;20,1056
14/02/2020;52.209.999;52.279.999;50.950.001;51.000.000;51.000.000;19896200;19,8962
17/02/2020;51.709.999;53.410.000;51.619.999;53.410.000;53.410.000;28134200;28,1342
18/02/2020;52.549.999;53.049.999;52.119.999;52.799.999;52.799.999;18054400;18,0544
19/02/2020;52.930.000;53.119.999;52.400.002;52.810.001;52.810.001;14439700;14,4397
20/02/2020;53.270.000;53.490.002;52.060.001;52.200.001;52.200.001;18818800;18,8188
21/02/2020;51.000.000;51.139.999;49.799.999;50.130.001;50.130.001;32249900;32,2499
26/02/2020;null;null;null;null;null;null;#VALOR!
